travelcode,usercode,name,place,days,price,total,date,price_per_day
16796.0,168.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2020-11-26,166.432
16800.0,168.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-12-24,69.55
16802.0,168.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2021-01-07,123.81
16808.0,168.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-02-18,182.16
16809.0,168.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2021-02-25,234.765
16813.0,168.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-03-25,131.705
16815.0,168.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2021-04-08,198.096
16819.0,168.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-05-06,250.416
16825.0,168.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2021-06-17,121.44
16828.0,168.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-07-08,250.416
16830.0,168.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2021-07-22,111.28
16831.0,168.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2021-07-29,197.5575
16834.0,168.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2021-08-19,175.60666666666668
16838.0,168.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2021-09-16,197.5575
16844.0,168.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2021-10-28,156.51
16847.0,168.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-11-18,124.4925
16851.0,168.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2021-12-16,40.26
16860.0,168.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2022-02-17,131.705
16872.0,168.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2022-05-12,234.6225
16878.0,168.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2022-06-23,250.416
16880.0,168.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2022-07-07,69.55
16883.0,168.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2022-07-28,250.26399999999998
16884.0,168.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2022-08-04,110.66000000000001
16886.0,168.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2022-08-18,121.44
16888.0,168.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2022-09-01,250.26399999999998
16889.0,168.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2022-09-08,250.26399999999998
16892.0,168.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2022-09-29,132.792
16894.0,168.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2022-10-13,234.6225
16896.0,168.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2022-10-27,197.5575
16897.0,168.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2022-11-03,124.4925
16898.0,168.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2022-11-10,132.792
16901.0,168.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2022-12-01,197.5575
16904.0,168.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2022-12-22,82.995
16905.0,168.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2022-12-29,45.2925
16907.0,168.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2023-01-12,110.66000000000001
16909.0,169.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2019-10-03,198.096
16914.0,169.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-11-07,234.765
16927.0,169.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-02-06,69.55
16929.0,169.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2020-02-20,124.4925
16936.0,169.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2020-04-09,185.715
16937.0,169.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-04-16,48.312
16939.0,169.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-04-30,45.2925
16941.0,169.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-05-14,198.096
16946.0,169.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-06-18,110.66000000000001
16952.0,169.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-07-30,111.28
16954.0,169.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-08-13,45.2925
16955.0,169.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-08-20,104.325
16956.0,169.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2020-08-27,182.16
16964.0,169.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2020-10-22,234.765
16965.0,169.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-10-29,138.69333333333333
16967.0,169.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-11-12,165.08
16970.0,169.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-12-03,92.73333333333333
16971.0,169.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-12-10,131.705
16975.0,169.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-01-07,104.325
16989.0,169.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-04-15,131.705
16991.0,169.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2021-04-29,111.28
16993.0,169.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-05-13,208.67999999999998
16995.0,169.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2021-05-27,104.02
16997.0,169.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-06-10,194.304
17000.0,169.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2021-07-01,121.44
17002.0,169.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2021-07-15,121.44
17013.0,169.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2021-09-30,234.765
17016.0,169.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2021-10-21,123.81
17020.0,169.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2021-11-18,110.66000000000001
17025.0,169.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-12-23,208.67999999999998
17026.0,169.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2021-12-30,45.2925
17027.0,169.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2022-01-06,110.66000000000001
17028.0,169.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2022-01-13,82.995
17029.0,170.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2019-09-26,208.5533333333333
17031.0,170.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2019-10-10,198.096
17032.0,170.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2019-10-17,250.416
17035.0,170.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2019-11-07,197.5575
17038.0,170.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2019-11-28,111.28
17040.0,170.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-12-12,234.765
17046.0,170.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-01-23,111.28
17048.0,170.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-02-06,208.67999999999998
17050.0,170.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-02-20,156.51
17052.0,170.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-03-05,210.728
17053.0,170.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-03-12,40.26
17061.0,170.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-05-07,111.28
17063.0,170.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-05-21,165.08
17065.0,170.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-06-04,161.92
17069.0,170.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2020-07-02,234.6225
17071.0,170.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-07-16,104.325
17072.0,170.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-07-23,104.02
17076.0,170.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-08-20,104.02
17079.0,170.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2020-09-10,156.415
17081.0,170.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2020-09-24,182.16
17087.0,170.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2020-11-05,182.16
17088.0,170.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-11-12,198.096
17093.0,170.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-12-17,131.705
17095.0,170.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-12-31,111.28
17098.0,170.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-01-21,92.73333333333333
17106.0,170.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2021-03-18,40.26
17112.0,170.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-04-29,250.416
17120.0,170.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2021-06-24,48.312
17124.0,170.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2021-07-22,110.66000000000001
17125.0,170.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2021-07-29,156.03
17126.0,170.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-08-05,131.705
17137.0,170.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2021-10-21,48.312
17138.0,170.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2021-10-28,69.55
17142.0,171.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2019-10-17,48.312
17143.0,171.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2019-10-24,210.728
17145.0,171.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2019-11-07,48.312
17148.0,171.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2019-11-28,131.705
17150.0,171.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2019-12-12,30.195
17152.0,171.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2019-12-26,161.92
17155.0,171.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-01-16,197.5575
17158.0,171.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2020-02-06,182.16
17159.0,171.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2020-02-13,156.415
17166.0,171.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-04-02,48.312
17169.0,171.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-04-23,110.66000000000001
17173.0,171.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-05-21,48.312
17174.0,171.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-05-28,165.08
17175.0,171.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-06-04,104.325
17182.0,171.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-07-23,45.2925
17189.0,171.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2020-09-10,123.81
17192.0,171.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-10-01,208.67999999999998
17194.0,171.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2020-10-15,234.765
17201.0,171.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-12-03,197.5575
17208.0,171.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2021-01-21,69.55
17209.0,171.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-01-28,131.705
17210.0,171.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-02-04,131.705
17215.0,171.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-03-11,208.67999999999998
17220.0,171.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2021-04-15,132.792
17226.0,171.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2021-05-27,185.715
17227.0,171.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-06-03,124.4925
17233.0,172.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2019-09-26,40.26
17234.0,172.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2019-10-03,110.66000000000001
17235.0,172.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2019-10-10,208.5533333333333
17241.0,173.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2019-10-24,161.92
17245.0,173.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2019-11-21,45.2925
17251.0,173.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-01-02,161.92
17252.0,173.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-01-09,131.705
17255.0,173.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-01-30,156.51
17258.0,173.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2020-02-20,182.16
17260.0,173.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-03-05,48.312
17262.0,173.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2020-03-19,250.26399999999998
17266.0,173.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-04-16,250.416
17267.0,173.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-04-23,30.195
17271.0,173.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2020-05-21,185.715
17272.0,173.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2020-05-28,194.304
17281.0,173.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-07-30,161.92
17282.0,173.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-08-06,156.51
17284.0,173.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-08-20,82.995
17286.0,173.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-09-03,198.096
17287.0,173.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2020-09-10,175.60666666666668
17294.0,173.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-10-29,131.705
17296.0,173.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-11-12,156.51
17299.0,173.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-12-03,165.08
17300.0,173.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2020-12-10,194.304
17305.0,173.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2021-01-14,123.81
17306.0,173.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2021-01-21,104.02
17316.0,174.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2019-10-31,123.81
17320.0,174.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2019-11-28,156.51
17323.0,174.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2019-12-19,124.4925
17324.0,174.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2019-12-26,110.66000000000001
17325.0,174.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-01-02,110.66000000000001
17326.0,174.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-01-09,111.28
17327.0,174.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-01-16,69.55
17332.0,174.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-02-20,138.69333333333333
17333.0,174.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-02-27,250.416
17334.0,174.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-03-05,111.28
17336.0,174.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-03-19,121.44
17338.0,174.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-04-02,250.416
17341.0,174.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2020-04-23,208.5533333333333
17342.0,174.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2020-04-30,175.60666666666668
17343.0,174.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-05-07,111.28
17346.0,174.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-05-28,40.26
17347.0,174.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-06-04,69.55
17348.0,174.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-06-11,104.325
17353.0,174.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-07-16,92.73333333333333
17354.0,174.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2020-07-23,234.6225
17355.0,174.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2020-07-30,156.415
17359.0,174.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-08-27,104.325
17362.0,174.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2020-09-17,194.304
17364.0,174.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-10-01,48.312
17367.0,174.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2020-10-22,124.4925
17368.0,174.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-10-29,48.312
17372.0,174.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2020-11-26,124.4925
17373.0,174.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2020-12-03,234.765
17376.0,174.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2020-12-24,234.765
17386.0,174.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2021-03-04,156.415
17396.0,174.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-05-13,92.73333333333333
17397.0,174.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-05-20,104.325
17400.0,174.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2021-06-10,156.51
17402.0,174.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-06-24,194.304
17407.0,174.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2021-07-29,111.28
17408.0,174.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-08-05,92.73333333333333
17410.0,174.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2021-08-19,69.55
17415.0,174.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2021-09-23,156.51
17421.0,174.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2021-11-04,210.728
17426.0,174.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2021-12-09,110.66000000000001
17428.0,174.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2021-12-23,185.715
17435.0,174.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2022-02-10,40.26
17438.0,174.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2022-03-03,210.728
17439.0,174.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2022-03-10,111.28
17441.0,174.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2022-03-24,156.51
17452.0,174.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2022-06-09,250.416
17455.0,174.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2022-06-30,69.55
17456.0,174.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2022-07-07,156.51
17458.0,174.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2022-07-21,165.08
17466.0,174.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2022-09-15,30.195
17469.0,174.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2022-10-06,123.81
17472.0,174.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2022-10-27,250.416
17474.0,174.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2022-11-10,182.16
17475.0,174.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2022-11-17,182.16
17477.0,174.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2022-12-01,194.304
17478.0,174.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2022-12-08,110.66000000000001
17480.0,174.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2022-12-22,156.415
17481.0,174.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2022-12-29,156.51
17490.0,174.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2023-03-02,197.5575
17495.0,174.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2023-04-06,92.73333333333333
17501.0,174.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2023-05-18,104.02
17509.0,175.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2019-09-26,185.715
17510.0,175.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-10-03,234.765
17515.0,175.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2019-11-07,198.096
17519.0,175.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2019-12-05,92.73333333333333
17520.0,175.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2019-12-12,194.304
17522.0,175.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-12-26,234.765
17523.0,175.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-01-02,111.28
17524.0,175.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2020-01-09,194.304
17527.0,175.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2020-01-30,208.5533333333333
17535.0,175.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2020-03-26,175.60666666666668
17542.0,175.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-05-14,45.2925
17547.0,175.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2020-06-18,234.6225
17552.0,175.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-07-23,208.67999999999998
17554.0,175.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2020-08-06,123.81
17561.0,175.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-09-24,48.312
17562.0,175.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-10-01,82.995
17566.0,175.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-10-29,30.195
17567.0,175.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2020-11-05,156.03
17568.0,175.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2020-11-12,185.715
17572.0,175.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-12-10,82.995
17578.0,175.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-01-21,92.73333333333333
17579.0,175.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2021-01-28,208.5533333333333
17581.0,175.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2021-02-11,156.415
17582.0,175.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-02-18,92.73333333333333
17583.0,175.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2021-02-25,30.195
17588.0,175.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2021-04-01,161.92
17591.0,175.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-04-22,92.73333333333333
17593.0,175.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-05-06,194.304
17596.0,175.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-05-27,124.4925
17597.0,175.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2021-06-03,161.92
17601.0,175.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2021-07-01,250.26399999999998
17603.0,175.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-07-15,250.416
17607.0,175.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-08-12,124.4925
17613.0,175.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2021-09-23,161.92
17618.0,175.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-10-28,131.705
17619.0,175.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-11-04,104.325
17627.0,175.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-12-30,250.416
17632.0,175.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2022-02-03,250.416
17636.0,175.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2022-03-03,182.16
17638.0,175.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2022-03-17,182.16
17639.0,175.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2022-03-24,45.2925
17646.0,176.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2019-09-26,185.715
17648.0,176.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2019-10-10,131.705
17651.0,176.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2019-10-31,250.26399999999998
17653.0,176.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2019-11-14,156.51
17654.0,176.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2019-11-21,197.5575
17655.0,176.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2019-11-28,185.715
17658.0,176.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-12-19,234.765
17660.0,176.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-01-02,210.728
17668.0,176.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-02-27,210.728
17669.0,176.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2020-03-05,156.415
17670.0,176.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-03-12,82.995
17675.0,176.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-04-16,40.26
17677.0,176.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-04-30,40.26
17680.0,176.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2020-05-21,175.60666666666668
17685.0,176.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-06-25,30.195
17689.0,176.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2020-07-23,156.03
17691.0,176.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-08-06,131.705
17693.0,176.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-08-20,161.92
17697.0,176.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2020-09-17,175.60666666666668
17698.0,176.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-09-24,198.096
17699.0,176.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-10-01,45.2925
17703.0,176.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-10-29,156.51
17705.0,176.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2020-11-12,208.5533333333333
17706.0,176.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-11-19,208.67999999999998
17708.0,176.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-12-03,104.02
17711.0,176.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2020-12-24,123.81
17713.0,176.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2021-01-07,45.2925
17717.0,176.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2021-02-04,69.55
17718.0,176.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2021-02-11,234.765
